x0000,y0000,Распределение Пуассона (по выборочному среднему)_x,Распределение Пуассона (по выборочному среднему)_y,Распределение Пуассона (по выборочному СКО)_x,Распределение Пуассона (по выборочному СКО)_y,Распределение Гаусса_x,Распределение Гаусса_y
-0.5,0.37225,0.,0.3639459177,0.,0.3464092368,0.,0.2393162403
0.5,0.363,1.,0.3678583364,1.,0.3672403614,1.,0.3874413096
1.5,0.1725,2.,0.1859064067,2.,0.194662077,2.,0.2442192299
2.5,0.07275,3.,0.0626349669,3.,0.0687893238,3.,0.0599368579
3.5,0.0145,4.,0.0158270732,4.,0.0182314828,4.,0.0057272780
4.5,0.00375,5.,0.0031994428,5.,0.0038655645,5.,0.0002130800
5.5,0.001,6.,0.0005389728,6.,0.0006830030,6.,0.0000030866
6.5,0.00025,7.,0.0000778238,7.,0.0001034393,7.,0.0000000174
7.5,,,,,,,
