x0000,y0000,Распределение Пуассона (по выборочному среднему)_x,Распределение Пуассона (по выборочному среднему)_y,Распределение Пуассона (по выборочному СКО)_x,Распределение Пуассона (по выборочному СКО)_y,Распределение Гаусса_x,Распределение Гаусса_y
-0.5,0.,0.,0.0000003361,0.,0.0000020870,0.,0.0002810173
0.5,0.,1.,0.0000067934,1.,0.0000383781,1.,0.0008210120
1.5,0.,2.,0.0000686639,2.,0.0003528628,2.,0.0022716875
2.5,0.,3.,0.0004626801,3.,0.0021629047,3.,0.0059529231
3.5,0.,4.,0.0023382693,4.,0.0099432919,4.,0.0147738809
4.5,0.,5.,0.0094536229,5.,0.0365689914,5.,0.0347249433
5.5,0.,6.,0.0318508313,6.,0.1120764926,6.,0.0772985109
6.5,0.,7.,0.0919806506,7.,0.2944213436,7.,0.1629608727
7.5,0.,8.,0.2324236066,8.,0.6767559803,8.,0.3253705089
8.5,1.,9.,0.5220492452,9.,1.382745939,9.,0.6152557239
9.5,2.,10.,1.0553225491,10.,2.5427003954,10.,1.1018329863
10.5,0.,11.,1.93939503,11.,4.2506495876,11.,1.8687814235
11.5,4.,12.,3.2670725443,12.,6.5136865726,12.,3.0018146854
12.5,4.,13.,5.0802978063,13.,9.2137474464,13.,4.5665884996
13.5,5.,14.,7.335587154,14.,12.1021091928,14.,6.579342734
14.5,13.,15.,9.8859262878,15.,14.8361975314,15.,8.9775074341
15.5,7.,16.,12.4902499943,16.,17.0512186413,16.,11.6014338363
16.5,15.,17.,14.8523766843,17.,18.4441778277,17.,14.1987526252
17.5,15.,18.,16.6800441486,18.,18.8425464518,18.,16.4577836646
18.5,25.,19.,17.7466890770,19.,18.2363866911,19.,18.0665462368
19.5,21.,20.,17.9374659846,20.,16.7672405837,20.,18.7828528264
20.5,18.,21.,17.2669464228,21.,14.6823340222,21.,18.4939894466
21.5,14.,22.,15.8659691789,22.,12.2722789458,22.,17.2457579562
22.5,11.,23.,13.9448072588,23.,9.811833751,23.,15.2305854893
23.5,9.,24.,11.7455949473,24.,7.5178167993,24.,12.7389473298
24.5,13.,25.,9.4974880744,25.,5.5297376646,25.,10.0909746802
25.5,8.,26.,7.3842969779,26.,3.9109654509,26.,7.5703389028
26.5,5.,27.,5.5286504966,27.,2.6636245818,27.,5.378735135
27.5,2.,28.,3.9914882067,28.,1.74931404,28.,3.6193253676
28.5,5.,29.,2.7823425551,29.,1.1092324926,29.,2.3065226612
29.5,2.,30.,1.8748351584,30.,0.6799142243,30.,1.3921000724
30.5,0.,31.,1.2225739589,31.,0.4033157965,31.,0.7957301568
31.5,0.,32.,0.7723228931,32.,0.2317651073,32.,0.4307683730
32.5,1.,33.,0.4731062813,33.,0.1291477701,33.,0.220853575
33.5,,,,,,,
